code,name,manufacturer,tier,group,slug
1233,"Екстраклін К РК","Терра Віта",original,"Гербіцид",ekstraklin-k-rk-terra-vita
1234,"Істiлайк 334 в.р.","Терра Віта",original,"Гербіцид",istilaik-334-v-r-terra-vita
1235,"Мадера 48 РК","Терра Віта",original,"Гербіцид",madera-48-rk-terra-vita
1236,"Пандора","Терра Віта",original,"Гербіцид",pandora-terra-vita
1237,"Проксаніл 720","Терра Віта",original,"Гербіцид",proksanil-720-terra-vita
1238,"Пiонер 900 к.е.","Терра Віта",original,"Гербіцид",pioner-900-k-e-terra-vita
1239,"Радікс 700 КС","Терра Віта",original,"Гербіцид",radiks-700-ks-terra-vita
1240,"Рідер 960","Терра Віта",original,"Гербіцид",rider-960-terra-vita
1241,"Рімакс 750 ВГ","Терра Віта",original,"Гербіцид",rimaks-750-vh-terra-vita
1242,"Рімакс Плюс","Терра Віта",original,"Гербіцид",rimaks-plyus-terra-vita
1243,"Рондос 750 ВГ","Терра Віта",original,"Гербіцид",rondos-750-vh-terra-vita
1244,"Салют 40МД","Терра Віта",original,"Гербіцид",salyut-40md-terra-vita
1245,"Самум Форте в.р.","Терра Віта",original,"Гербіцид",samum-forte-v-r-terra-vita
1246,"Старгезан 500 к.с.","Терра Віта",original,"Гербіцид",starhezan-500-k-s-terra-vita
1247,"Тесон 417 СЭ","Терра Віта",original,"Гербіцид",teson-417-se-terra-vita
1248,"Топланц 240 к.е","Терра Віта",original,"Гербіцид",toplants-240-k-e-terra-vita
1249,"Агент, СЕ","Укравіт",premium,"Гербіцид",ahent-se-ukravit
1250,"Агростар, РК","Укравіт",premium,"Гербіцид",ahrostar-rk-ukravit
1251,"Варяг Тріо, СЕ","Укравіт",premium,"Гербіцид",varyah-trio-se-ukravit
1252,"Варяг, КЕ","Укравіт",premium,"Гербіцид",varyah-ke-ukravit
1253,"Вейрон КС","Укравіт",premium,"Гербіцид",veiron-ks-ukravit
1254,"Віталон Експерт, КЕ","Укравіт",premium,"Гербіцид",vitalon-ekspert-ke-ukravit
1255,"Галант,РК","Укравіт",premium,"Гербіцид",halant-rk-ukravit
1256,"Генезис, РК","Укравіт",premium,"Гербіцид",henezys-rk-ukravit
1257,"Гліфовіт, РК","Укравіт",premium,"Гербіцид",hlifovit-rk-ukravit
1258,"Голд Стар, ВГ","Укравіт",premium,"Гербіцид",hold-star-vh-ukravit
1259,"Голдікс, КС","Укравіт",premium,"Гербіцид",holdiks-ks-ukravit
1260,"Датоніт Голд, КЕ","Укравіт",premium,"Гербіцид",datonit-hold-ke-ukravit
1261,"Диво Н, РК","Укравіт",premium,"Гербіцид",dyvo-n-rk-ukravit
1262,"Імі-Віт,РК","Укравіт",premium,"Гербіцид",imi-vit-rk-ukravit
1263,"Кайліс, КС","Укравіт",premium,"Гербіцид",kailis-ks-ukravit
